type,maturity,coupon,bid,ask,price,ytm,ttm_years,id
bill,2027-05-13,0.0,97.248,97.25516666666667,97.25516666666667,0.0395,0.7091033538672142,B20270513_0
note,2027-05-15,0.023799999999999998,98.78125,98.8125,98.8125,0.0408,0.7145790554414785,N20270515_24
note,2027-05-15,0.045,100.25,100.28125,100.28125,0.0408,0.7145790554414785,N20270515_45
note,2027-05-31,0.005,97.34375,97.375,97.375,0.040999999999999995,0.758384668035592,N20270531_5
note,2027-05-31,0.0263,98.875,98.90625,98.90625,0.040999999999999995,0.758384668035592,N20270531_26
note,2027-05-31,0.0388,99.8125,99.84375,99.84375,0.0409,0.758384668035592,N20270531_39
bill,2027-06-10,0.0,96.90166666666667,96.90961111111112,96.90961111111112,0.04019999999999999,0.785763175906913,B20270610_0
note,2027-06-15,0.0463,100.375,100.40625,100.40625,0.0407,0.7994524298425736,N20270615_46
note,2027-06-30,0.005,97.03125,97.0625,97.0625,0.041100000000000005,0.840520191649555,N20270630_5
note,2027-06-30,0.0325,99.25,99.28125,99.28125,0.041299999999999996,0.840520191649555,N20270630_32
note,2027-06-30,0.0375,99.65625,99.6875,99.6875,0.0412,0.840520191649555,N20270630_38
bill,2027-07-08,0.0,96.57216666666667,96.5808888888889,96.5808888888889,0.0407,0.8624229979466119,B20270708_0
note,2027-07-15,0.0438,100.15625,100.1875,100.1875,0.0415,0.8815879534565366,N20270715_44
note,2027-07-31,0.0038,96.5625,96.59375,96.59375,0.042,0.9253935660506503,N20270731_4
note,2027-07-31,0.0275,98.6875,98.71875,98.71875,0.04190000000000001,0.9253935660506503,N20270731_28
note,2027-07-31,0.0388,99.6875,99.71875,99.71875,0.04190000000000001,0.9253935660506503,N20270731_39
bill,2027-08-05,0.0,96.22850000000001,96.238,96.238,0.0412,0.9390828199863107,B20270805_0
note,2027-08-15,0.0225,98.15625,98.1875,98.1875,0.042,0.9664613278576317,N20270815_22
note,2027-08-15,0.0375,99.53125,99.5625,99.5625,0.0421,0.9664613278576317,N20270815_38
note,2027-08-15,0.0638,101.96875,102.0,102.0,0.0421,0.9664613278576317,N20270815_64
note,2027-08-31,0.005,96.40625,96.4375,96.4375,0.0418,1.0102669404517455,N20270831_5
note,2027-08-31,0.0313,98.90625,98.9375,98.9375,0.0421,1.0102669404517455,N20270831_31
note,2027-08-31,0.0363,99.40625,99.4375,99.4375,0.04190000000000001,1.0102669404517455,N20270831_36
note,2027-09-15,0.0338,99.125,99.15625,99.15625,0.042,1.051334702258727,N20270915_34
note,2027-09-30,0.0038,95.9375,95.96875,95.96875,0.042300000000000004,1.0924024640657084,N20270930_4
note,2027-09-30,0.035,99.21875,99.25,99.25,0.0421,1.0924024640657084,N20270930_35
